PoolArea,GarageCars,Fireplaces,TotRmsAbvGrd,Baths,SqFeet,CentralAir,Age,LotSize,BldgType,HouseStyle,condition,yhat
0,2,0,6,2,1516,1,45,10004,0,2,6,177.1335255940629
0,1,0,4,1,616,1,85,6000,0,2,7,47.32298664344546
0,1,1,8,2,1696,1,45,13673,0,2,5,175.73341157419082
0,2,0,6,3,1479,1,34,13517,0,0,8,191.71211583654448
0,2,1,8,2,2217,1,37,15865,0,2,6,266.86716837594975
0,2,1,7,4,1868,1,23,12090,0,4,7,241.5403225786407
0,1,0,4,1,936,1,54,5868,0,2,7,114.97366667541841
0,2,2,5,3,2127,1,14,10944,0,0,5,278.91924996846853
0,0,0,8,1,1184,1,96,8410,0,1,3,22.338646279456967
0,3,1,7,2,2084,1,1,14803,0,2,5,303.51610204746146
0,0,0,8,2,1440,1,30,7711,2,2,3,103.5921713127372
0,2,0,6,3,1640,1,5,7226,0,0,5,208.42081511892562
0,0,0,10,2,1800,0,46,8000,2,2,4,134.9558303787011
0,1,0,6,1,1050,1,45,10659,0,2,6,122.10765662738902
0,0,1,5,1,840,1,77,4388,0,3,7,72.69397226151673
0,3,0,7,1,1344,0,92,4571,0,0,5,123.21576520133834
0,3,1,8,3,2612,1,11,12203,0,0,5,327.68108320148184
0,2,1,6,2,1146,1,4,9590,0,4,5,191.16740106665014
0,2,1,7,3,1690,1,7,8063,0,0,5,220.6662245899668
0,1,1,8,1,1576,1,78,6240,0,1,6,141.33789658387394
0,3,1,7,2,1976,1,1,14977,0,2,5,292.36479730486724
0,2,1,5,2,1381,1,38,9360,0,2,7,196.3030253629922
0,2,0,7,2,1700,1,3,9135,0,2,5,229.2288855838207
0,2,0,6,1,1235,1,45,8500,0,2,3,128.1821616633759
0,1,1,4,1,778,1,68,6900,0,2,6,85.99260634805073
0,2,1,7,3,1838,1,1,21930,0,0,5,248.7490292610689
0,2,2,8,3,1960,1,8,7851,0,0,5,256.436228510252
0,1,0,6,1,1096,1,37,15870,0,2,5,128.20700880944995
0,2,1,8,3,2060,1,10,8755,0,0,5,252.61553303297453
0,2,0,7,2,1709,1,2,2522,4,0,5,203.33510890673972
0,1,0,5,1,894,1,41,7094,0,2,5,102.42840928730598
